693nm,691nm,527nm,525nm,340nm,530nm,523nm,532nm,695nm,520nm,534nm,696nm,625nm,623nm,627nm,685nm,629nm,621nm,631nm,537nm,634nm,619nm,800nm,689nm,794nm,821nm,636nm,518nm,795nm,806nm,809nm,812nm,617nm,638nm,801nm,414nm,798nm,584nm,539nm,687nm,582nm,580nm,354nm,827nm,417nm,698nm,578nm,348nm,587nm,640nm,L*,a*,b*,Date
0.001509038,0.006261064,0.61523968,0.604385614,0.004985097,0.630449653,0.597663641,0.647237122,0.000341204,0.601857901,0.663856626,0.000238713,0.922105491,0.931275845,0.912273765,0.059540424,0.900053859,0.939386666,0.885993361,0.678643942,0.869587004,0.94177705,0.000403099,0.024990719,0.000400403,0.000386925,0.851823092,0.614783287,0.000397019,0.000405289,0.000389754,0.00039908,0.94005996,0.832906485,0.000409007,0.01149379,0.000408081,0.856601,0.691140056,0.041932128,0.850159168,0.843977094,0.00024562,0.000393053,0.029490106,0.000182343,0.838015974,0.000377002,0.862638235,0.812190711,86.87,-3.96,52.84,Day1
0.001695894,0.006763751,0.612632096,0.602002978,0.005574842,0.627704382,0.595593572,0.644415915,0.000399295,0.600141525,0.660970449,0.000282062,0.920088351,0.929358542,0.910154521,0.060015596,0.897853255,0.93757385,0.883715212,0.675691247,0.867253065,0.939998806,0.000475354,0.025817642,0.000472348,0.000457138,0.849467278,0.613478065,0.000468687,0.000478158,0.00046008,0.000470893,0.938254356,0.830554724,0.000482432,0.012650451,0.000480953,0.854361832,0.688114285,0.042608589,0.84785378,0.841598332,0.000292754,0.000463932,0.0316456,0.000216794,0.835564613,0.000445729,0.860454857,0.809863448,78.8,-2.71,49.44,Day1
0.001487326,0.006202718,0.610290051,0.599573135,0.004943516,0.625438571,0.593016982,0.642196655,0.000335557,0.597342014,0.65879786,0.000234292,0.92183578,0.930977285,0.912033617,0.059661921,0.899852455,0.939063549,0.885836244,0.673577309,0.869484127,0.941417575,0.000397125,0.024973694,0.000394354,0.000380967,0.851782441,0.610425234,0.00039106,0.000399243,0.000383854,0.000392969,0.939645946,0.832933366,0.000402894,0.011488308,0.000401902,0.854386568,0.686060905,0.041997023,0.847776592,0.841420293,0.000241442,0.000387059,0.029494829,0.000178795,0.835289299,0.000371076,0.860583067,0.812287688,80.27,-2.79,51.75,Day1
0.001427135,0.006034755,0.60905534,0.598329961,0.004764073,0.624216676,0.591750622,0.640981913,0.000317846,0.596025109,0.657591462,0.000221107,0.922236383,0.931342959,0.912469685,0.059551585,0.90032196,0.939394593,0.886339605,0.672383726,0.870018959,0.941726565,0.000375621,0.024714563,0.000372914,0.000360043,0.852343023,0.609051108,0.000369734,0.000377552,0.000362909,0.000371536,0.939941049,0.83351469,0.000381022,0.011161668,0.000380153,0.854075193,0.684880257,0.041808903,0.847417712,0.84101361,0.000227431,0.000365928,0.028881803,0.000168358,0.83483696,0.000350569,0.86031884,0.812885046,78.83,-2.77,52.34,Day1
0.0011586,0.005253756,0.611909509,0.600848913,0.003913325,0.627280831,0.593792081,0.644159436,0.000240492,0.597506106,0.660866499,0.000164424,0.92524904,0.934194028,0.915646732,0.058720049,0.903634548,0.94207865,0.889781773,0.675761938,0.873557985,0.944350243,0.000280752,0.023322925,0.000278523,0.000268165,0.855927706,0.609880328,0.000275815,0.000281943,0.000270741,0.000277335,0.942596555,0.837104142,0.000284642,0.009453424,0.000284387,0.856942594,0.688370824,0.040643603,0.850349724,0.844020903,0.00016675,0.00027302,0.025560617,0.000123827,0.837921321,0.000260752,0.863136888,0.816446185,86.75,-4.81,57.8,Day1
0.001468301,0.006147026,0.610812426,0.600071311,0.004885805,0.625972033,0.593479753,0.64273262,0.000329943,0.597766399,0.659334302,0.000230163,0.921858728,0.931006372,0.912049592,0.059563424,0.899859309,0.939097822,0.885831654,0.674113452,0.869465172,0.941456437,0.000390248,0.024864243,0.000387513,0.000374288,0.851747632,0.610803246,0.000384241,0.000392296,0.000377165,0.000386117,0.939690053,0.832880855,0.000395888,0.011373254,0.00039497,0.8545506,0.686597407,0.041890066,0.847959042,0.841622531,0.000237008,0.000380312,0.029277965,0.00017554,0.83551228,0.000364538,0.860730648,0.812216163,78.73,-3.18,52.22,Day1
0.001490461,0.006206193,0.613816619,0.603002906,0.004940763,0.629005432,0.596324921,0.64577812,0.000336139,0.600549698,0.662385166,0.000234908,0.921845555,0.931022644,0.912005901,0.059495479,0.899780452,0.939141214,0.885713696,0.677162886,0.869302809,0.941527307,0.000397342,0.024909055,0.000394639,0.000381265,0.851538599,0.613510489,0.000391294,0.000399458,0.000384119,0.000393262,0.939793885,0.832623601,0.000403114,0.011435582,0.000402221,0.855768561,0.689648032,0.04187233,0.849281371,0.843052983,0.000241793,0.000387348,0.029387092,0.000179328,0.83704859,0.000371421,0.861849308,0.811910629,81.48,-3.95,52.75,Day1
0.001550492,0.006367977,0.615173638,0.604371071,0.005121805,0.630344033,0.597716987,0.647102416,0.000354198,0.601992011,0.66369319,0.00024844,0.921254873,0.930482864,0.911362827,0.059555966,0.899087131,0.938651681,0.884967864,0.67844975,0.868506432,0.941067338,0.000419383,0.025139082,0.000416626,0.000402724,0.850699544,0.615007758,0.000413158,0.00042168,0.000405597,0.000415217,0.939349115,0.83174789,0.000425513,0.011762645,0.000424519,0.855953813,0.690913558,0.04202057,0.849520624,0.843347073,0.000256237,0.00040901,0.029997827,0.00019008,0.837396622,0.000392455,0.861981392,0.811003745,80.34,-4.21,52.26,Day1
0.001264609,0.005565587,0.613874495,0.602862716,0.004239458,0.629198074,0.59589088,0.646045983,0.000270053,0.599743605,0.662720978,0.000186093,0.92411536,0.933151603,0.914419413,0.058928318,0.902318716,0.941126645,0.888374805,0.677575469,0.872065783,0.943448067,0.000316471,0.023836283,0.000314103,0.000302786,0.854366601,0.612274647,0.000311169,0.000317931,0.000305462,0.000312852,0.941714525,0.835487247,0.00032093,0.01007629,0.000320526,0.857064545,0.690142632,0.041019894,0.850552976,0.844305634,0.000189605,0.000308038,0.026782041,0.00014082,0.838285029,0.000294622,0.863177478,0.814785242,85.64,-4.93,56.44,Day1
0.001513551,0.006269709,0.613655686,0.602865517,0.005012952,0.6288293,0.596221328,0.645593643,0.000343131,0.600486279,0.662193298,0.000240104,0.921607792,0.930798113,0.911754727,0.059552923,0.899518073,0.938930213,0.885440469,0.676963091,0.869021118,0.941321731,0.000405972,0.025013771,0.000403233,0.000389647,0.851252317,0.613493681,0.00039985,0.000408158,0.000392516,0.000401841,0.939586639,0.83233583,0.000411884,0.011575962,0.00041093,0.855567276,0.689439595,0.041956518,0.849077284,0.84284544,0.000247398,0.000395813,0.029651601,0.000183445,0.836837471,0.000379624,0.861649752,0.811623812,80.78,-3.82,52.35,Day1
