Sample,R,G,B,C,M,Y,H,S,I,L* ,a*,b*
,,,,,,,,,,,,
Sliced_Cake-_D1-1,242,217,115,13,38,140,49,0.399,0.75,86.87,-3.96,52.84
Sliced_Cake-_D1-2,219,194,101,36,61,154,48,0.411,0.672,78.8,-2.71,49.44
Sliced_Cake-_D1-3,224,198,100,31,57,155,49,0.425,0.682,80.27,-2.79,51.75
Sliced_Cake-_D1-4,220,194,95,35,61,160,49,0.44,0.665,78.83,-2.77,52.34
Sliced_Cake-_D1-5,242,217,104,13,38,151,50,0.446,0.736,86.75,-4.81,57.8
Sliced_Cake-_D1-6,219,194,95,36,61,160,49,0.439,0.664,78.73,-3.18,52.22
Sliced_Cake-_D1-7,226,202,101,29,53,154,50,0.427,0.692,81.48,-3.95,52.75
Sliced_Cake-_D1-8,222,199,99,33,56,156,50,0.429,0.68,80.34,-4.21,52.26
Sliced_Cake-_D1-9,238,214,104,17,41,151,50,0.439,0.727,85.64,-4.93,56.44
Sliced_Cake-_D1-10,224,200,100,31,55,155,49,0.427,0.685,80.78,-3.82,52.35
Sliced_Cake-_D1-11,222,198,98,33,57,157,49,0.432,0.677,80.07,-3.78,52.42
Sliced_Cake-_D1-12,220,195,96,35,60,159,49,0.436,0.668,79.09,-3.21,52.18
Sliced_Cake-_D1-13,226,202,99,29,53,156,50,0.436,0.689,81.46,-4.1,53.66
Sliced_Cake-_D1-14,230,206,93,25,49,162,51,0.473,0.692,82.78,-4.93,57.99
Sliced_Cake-_D1-15,236,210,122,19,45,133,47,0.356,0.742,84.65,-2.21,46.66
Sliced_Cake-_D1-16,231,207,119,24,48,136,48,0.359,0.728,83.41,-2.96,46.51
Sliced_Cake-_D1-17,242,217,129,13,38,126,48,0.342,0.769,87.04,-2.74,46.29
Sliced_Cake-_D1-18,230,205,115,25,50,140,48,0.373,0.719,82.77,-2.7,47.66
Sliced_Cake-_D1-19,238,214,121,17,41,134,49,0.366,0.749,85.83,-3.54,48.63
Sliced_Cake-_D1-20,242,217,131,13,38,124,48,0.334,0.771,87.07,-2.55,45.34
Sliced_Cake-_D1-21,224,199,81,31,56,174,51,0.518,0.659,80.34,-4.63,60.42
Sliced_Cake-_D1-22,224,198,84,31,57,171,50,0.502,0.661,80.11,-3.93,58.87
Sliced_Cake-_D1-23,220,193,72,35,62,183,50,0.555,0.634,78.36,-3.75,61.99
Sliced_Cake-_D1-23,218,193,77,37,62,178,50,0.527,0.638,78.22,-4.31,59.69
Sliced_Cake-_D1-24,224,197,70,31,58,185,51,0.572,0.642,79.74,-4.23,64.33
Sliced_Cake-_D1-25,230,205,78,25,50,177,51,0.544,0.671,82.4,-5.36,64.01
Sliced_Cake-_D1-26,222,197,77,33,58,178,51,0.534,0.648,79.61,-4.68,61.28
Sliced_Cake-_D1-27,224,199,80,31,56,175,51,0.523,0.658,80.33,-4.69,60.84
Sliced_Cake-_D1-28,238,215,91,17,40,164,52,0.498,0.711,85.77,-6.33,62.36
Sliced_Cake-_D1-29,235,208,83,20,47,172,50,0.527,0.688,83.65,-4.51,63.4
Sliced_Cake-_D1-30,246,223,107,9,32,148,51,0.443,0.753,88.65,-5.99,58.71
Sliced_Cake-_D1-31,250,227,139,5,28,116,49,0.323,0.805,90.38,-3.68,45.71
Sliced_Cake-_D1-32,240,213,113,15,42,142,48,0.401,0.74,85.66,-2.9,52.3
Sliced_Cake-_D1-33,236,213,119,19,42,136,49,0.371,0.742,85.38,-4.01,49.01
Sliced_Cake-_D1-34,253,231,128,2,24,127,51,0.373,0.8,91.5,-5.52,52.46
Sliced_Cake-_D1-35,252,230,130,3,25,125,50,0.363,0.8,91.19,-5.24,51.11
Sliced_Cake-_D1-36,251,227,136,4,28,119,49,0.336,0.803,90.43,-3.58,47.25
Sliced_Cake-_D1-37,230,201,77,25,54,178,50,0.545,0.664,81.36,-3.37,63.34
Sliced_Cake-_D1-38,234,209,89,21,46,166,51,0.498,0.695,83.87,-5.07,61.05
Sliced_Cake-_D1-39,229,201,78,26,54,177,50,0.539,0.664,81.28,-3.74,62.82
Sliced_Cake-_D1-40,227,201,78,28,54,177,51,0.538,0.661,81.1,-4.58,62.57
Sliced_Cake-_D1-41,235,210,91,20,45,164,51,0.491,0.701,84.23,-5.04,60.6
Sliced_Cake-_D1-42,229,201,76,26,54,179,50,0.549,0.661,81.27,-3.85,63.62
Sliced_Cake-_D1-43,234,207,83,21,48,172,50,0.525,0.685,83.31,-4.42,63
Sliced_Cake-_D1-44,227,198,68,28,57,187,50,0.586,0.644,80.26,-3.57,65.72
Sliced_Cake-_D1-45,235,208,77,20,47,178,51,0.556,0.68,83.61,-4.85,65.81
Sliced_Cake-_D1-46,229,202,95,26,53,160,49,0.458,0.688,81.69,-3.16,55.83
Sliced_Cake-_D1-47,226,200,93,29,55,162,49,0.462,0.678,80.89,-3.52,55.76
Sliced_Cake-_D1-48,230,204,87,25,51,168,50,0.499,0.681,82.22,-4.31,60.01
Sliced_Cake-_D1-49,227,200,91,28,55,164,49,0.473,0.677,80.96,-3.24,56.77
Sliced_Cake-_D1-50,224,199,91,31,56,164,50,0.469,0.672,80.43,-3.98,56.11
Sliced_Cake-_D1-51,229,204,95,26,51,160,50,0.46,0.69,82.2,-4.18,56.41
Sliced_Cake-_D1-52,221,193,83,34,62,172,49,0.499,0.65,78.54,-2.67,57.52
Sliced_Cake-_D1-53,241,217,107,14,38,148,50,0.432,0.739,86.7,-5,56.34
Sliced_Cake-_D1-54,222,194,85,33,61,170,49,0.491,0.655,78.91,-2.64,57.06
Sliced_Cake-_D1-55,235,207,93,20,48,162,49,0.479,0.699,83.48,-3.37,58.89
Sliced_Cake-_D1-56,230,205,93,25,50,162,50,0.472,0.69,82.53,-4.42,57.7
Sliced_Cake-_D1-57,230,205,94,25,50,161,50,0.467,0.692,82.54,-4.35,57.27
Sliced_Cake-_D1-58,222,194,84,33,61,171,49,0.496,0.654,78.9,-2.7,57.49
Sliced_Cake-_D1-59,240,216,119,15,39,136,49,0.379,0.752,86.49,-3.93,50.43
Sliced_Cake-_D1-60,241,217,103,14,38,152,51,0.449,0.733,86.66,-5.29,58.12
Sliced_Cake-_D1-61,242,216,93,13,39,162,51,0.494,0.72,86.39,-5.06,62.28
Sliced_Cake-_D1-62,242,217,95,13,38,160,51,0.486,0.724,86.67,-5.44,61.71
Sliced_Cake-_D1-62,245,220,103,10,35,152,51,0.456,0.742,87.77,-5.18,59.48
Sliced_Cake-_D1-63,240,212,87,15,43,168,50,0.516,0.705,85.15,-4.23,63.45
Sliced_Cake-_D1-64,240,217,102,15,38,153,51,0.453,0.731,86.56,-5.78,58.44
Sliced_Cake-_D1-65,254,232,107,1,23,148,52,0.459,0.775,91.62,-7.26,62.25
Sliced_Cake-_D1-66,240,216,102,15,39,153,51,0.452,0.729,86.3,-5.27,58.15
Sliced_Cake-_D1-67,245,220,102,10,35,153,51,0.46,0.741,87.76,-5.25,59.91
Sliced_Cake-_D1-68,243,220,100,12,35,155,51,0.467,0.736,87.56,-6.2,60.54
Sliced_Cake-_D1-69,240,216,102,15,39,153,51,0.452,0.729,86.3,-5.27,58.15
Sliced_Cake-_D1-70,246,222,106,9,33,149,51,0.446,0.75,88.39,-5.56,58.86
Sliced_Cake-_D1-71,241,217,103,14,38,152,51,0.449,0.733,86.66,-5.29,58.12
Sliced_Cake-_D1-72,245,222,138,10,33,117,48,0.316,0.791,88.68,-3.22,43.97
Sliced_Cake-_D1-73,245,221,114,10,34,141,50,0.41,0.758,88.13,-4.86,54.86
Sliced_Cake-_D1-74,245,219,116,10,36,139,49,0.4,0.758,87.65,-3.68,53.35
Sliced_Cake-_D1-75,238,214,106,17,41,149,50,0.43,0.729,85.66,-4.78,55.54
Sliced_Cake-_D1-76,240,215,103,15,40,152,50,0.446,0.729,86.06,-4.69,57.42
Sliced_Cake-_D1-78,243,219,110,12,36,145,50,0.423,0.748,87.41,-4.97,55.83
Sliced_Cake-_D1-79,224,197,65,31,58,190,51,0.599,0.635,79.71,-4.48,66.23
Sliced_Cake-_D1-80,210,180,54,45,75,201,50,0.635,0.58,73.94,-2.16,64.26
Sliced_Cake-_D1-81,214,184,54,41,71,201,50,0.642,0.591,75.35,-2.52,65.74
Sliced_Cake-_D1-82,213,184,48,42,71,207,51,0.676,0.582,75.23,-3.19,67.64
Sliced_Cake-_D1-83,213,184,54,42,71,201,50,0.641,0.59,75.26,-2.95,65.62
Sliced_Cake-_D1-84,216,188,57,39,67,198,51,0.629,0.603,76.59,-3.61,65.91
Sliced_Cake-_D1-85,216,190,58,39,65,197,51,0.625,0.607,77.12,-4.6,66.05
Sliced_Cake-_D1-86,211,181,51,44,74,204,50,0.655,0.579,74.28,-2.38,65.68
Sliced_Cake-_D1-87,215,187,64,40,68,191,50,0.588,0.609,76.29,-3.19,62.94
Sliced_Cake-_D1-88,222,195,71,33,60,184,50,0.564,0.638,79.05,-3.99,63.17
Sliced_Cake-_D1-89,215,188,62,40,67,193,50,0.6,0.608,76.53,-3.81,63.96
Sliced_Cake-_D1-90,219,191,62,36,64,193,50,0.606,0.617,77.68,-3.65,65.21
Sliced_Cake-_D1-91,222,195,65,33,60,190,51,0.595,0.63,79.01,-4.3,65.48
Sliced_Cake-_D1-92,213,185,57,42,70,198,50,0.624,0.595,75.54,-3.34,64.8
Sliced_Cake-_D1-93,242,217,114,13,38,141,49,0.403,0.749,86.86,-4.04,53.3
Sliced_Cake-_D1-94,245,220,107,10,35,148,50,0.439,0.748,87.8,-4.89,57.71
Sliced_Cake-_D1-95,243,220,109,12,35,146,51,0.428,0.748,87.65,-5.55,56.58
Sliced_Cake-_D1-96,242,217,103,13,38,152,50,0.45,0.735,86.74,-4.89,58.24
Sliced_Cake-_D1-97,240,214,98,15,41,157,50,0.467,0.722,85.76,-4.54,59.33
Sliced_Cake-_D1-98,243,219,101,12,36,154,51,0.462,0.736,87.32,-5.63,59.82
Sliced_Cake-_D1-99,241,216,101,14,39,154,50,0.457,0.729,86.38,-4.93,58.71
Sliced_Cake-_D1-100,246,223,115,9,32,140,51,0.409,0.763,88.74,-5.38,55.13
Sliced_Cake-_D1-101,247,223,133,8,32,122,48,0.338,0.788,89.04,-3.42,46.91
Sliced_Cake-_D1-102,235,208,111,20,47,144,48,0.399,0.724,83.92,-2.54,51.08
Sliced_Cake-_D1-103,250,227,119,5,28,136,51,0.401,0.779,90.13,-5.46,55
Sliced_Cake-_D1-104,236,210,109,19,45,146,49,0.411,0.725,84.5,-3.32,52.74
Sliced_Cake-_D1-105,243,220,119,12,35,136,50,0.387,0.761,87.76,-4.75,52.03
Sliced_Cake-_D1-106,235,209,107,20,46,148,49,0.417,0.72,84.13,-3.38,53.23
Sliced_Cake-_D1-107,245,220,121,10,35,134,49,0.381,0.766,87.96,-3.77,51.35
Sliced_Cake-_D1-108,237,214,114,18,41,141,50,0.395,0.739,85.66,-4.54,51.77
Sliced_Cake-_D1-109,251,229,119,4,26,136,51,0.404,0.783,90.73,-6.07,55.72
Sliced_Cake-_D1-110,231,214,161,24,41,94,47,0.203,0.792,85.83,-1.99,28.35
