Sample,R,G,B,C,M,Y,H,S,I,L* ,a*,b*
D3_sliced_cake-1,218,190,58,37,65,197,51.0,0.627,0.609,77.3,-3.75,66.29
D3_sliced_cake-2,218,189,52,37,66,203,51.0,0.66,0.6,77.01,-3.48,68.12
D3_sliced_cake-3,221,195,61,34,60,194,51.0,0.616,0.624,78.89,-4.91,66.83
D3_sliced_cake-5,234,208,70,21,47,185,52.0,0.59,0.669,83.47,-5.63,68.37
D3_sliced_cake-6,220,191,57,35,64,198,50.0,0.635,0.612,77.74,-3.45,67.14
D3_sliced_cake-7,220,193,61,35,62,194,51.0,0.614,0.62,78.28,-4.31,66.21
D3_sliced_cake-8,220,194,62,35,61,193,51.0,0.609,0.622,78.55,-4.78,66.09
D3_sliced_cake-9,224,196,62,31,59,193,51.0,0.614,0.63,79.43,-4.1,67.08
D3_sliced_cake-10,221,194,63,34,61,192,51.0,0.605,0.625,78.64,-4.3,65.85
D3_sliced_cake-11,221,191,54,34,64,201,50.0,0.652,0.609,77.82,-3.15,68.29
D3_sliced_cake-12,234,207,68,21,48,187,51.0,0.599,0.665,83.2,-5.22,68.85
D3_sliced_cake-13,220,190,54,35,65,201,50.0,0.651,0.607,77.47,-3.06,67.93
D3_sliced_cake-14,226,199,78,29,56,177,50.0,0.535,0.658,80.5,-3.97,61.91
D3_sliced_cake-15,226,200,79,29,55,176,50.0,0.531,0.66,80.76,-4.43,61.77
D3_sliced_cake-16,222,197,81,33,58,174,50.0,0.514,0.654,79.65,-4.44,59.62
D3_sliced_cake-17,233,203,68,22,52,187,50.0,0.595,0.659,82.08,-3.6,67.72
D3_sliced_cake-18,222,196,79,33,59,176,50.0,0.523,0.65,79.37,-4.05,60.18
D3_sliced_cake-19,230,202,69,25,53,186,51.0,0.587,0.655,81.56,-4.31,66.73
D3_sliced_cake-20,221,195,80,34,60,175,50.0,0.516,0.648,79.03,-3.89,59.36
D3_sliced_cake-21,231,202,70,24,53,185,50.0,0.583,0.658,81.66,-3.83,66.47
D3_sliced_cake-22,218,190,68,37,65,187,50.0,0.571,0.622,77.37,-3.26,62.54
D3_sliced_cake-23,231,203,73,24,52,182,50.0,0.568,0.663,81.94,-4.19,65.58
D3_sliced_cake-24,231,203,69,24,52,186,51.0,0.588,0.658,81.91,-4.4,67.11
D3_sliced_cake-25,230,203,69,25,52,186,51.0,0.588,0.656,81.82,-4.82,66.99
D3_sliced_cake-26,231,205,70,24,50,185,51.0,0.585,0.661,82.43,-5.37,67.24
D3_sliced_cake-27,231,203,68,24,52,187,51.0,0.594,0.656,81.9,-4.44,67.48
D3_sliced_cake-28,229,201,67,26,54,188,51.0,0.596,0.65,81.2,-4.31,67.1
D3_sliced_cake-29,233,206,73,22,49,182,51.0,0.572,0.669,82.89,-4.88,66.6
D3_sliced_cake-30,231,203,69,24,52,186,51.0,0.588,0.658,81.91,-4.4,67.11
D3_sliced_cake-31,240,214,86,15,41,169,51.0,0.522,0.706,85.65,-5.31,64.4
D3_sliced_cake-32,239,213,82,16,42,173,51.0,0.539,0.698,85.28,-5.45,65.63
D3_sliced_cake-33,239,213,79,16,42,176,51.0,0.554,0.694,85.25,-5.61,66.82
D3_sliced_cake-34,236,211,75,19,44,180,52.0,0.569,0.682,84.45,-6.06,67.49
D3_sliced_cake-35,240,216,80,15,39,175,52.0,0.552,0.701,86.11,-6.66,67.34
D3_sliced_cake-36,236,211,76,19,44,179,52.0,0.564,0.684,84.45,-6.01,67.1
D3_sliced_cake-36,244,219,96,11,36,159,51.0,0.485,0.731,87.36,-5.56,62.09
D3_sliced_cake-37,238,212,90,17,43,165,51.0,0.5,0.706,85.0,-4.88,61.95
D3_sliced_cake-38,242,217,93,13,38,162,51.0,0.495,0.722,86.65,-5.57,62.56
D3_sliced_cake-39,240,216,95,15,39,160,51.0,0.483,0.72,86.24,-5.75,61.19
D3_sliced_cake-40,243,217,93,12,38,162,51.0,0.495,0.723,86.74,-5.15,62.68
D3_sliced_cake-41,216,190,58,39,65,197,51.0,0.625,0.607,77.12,-4.6,66.05
D3_sliced_cake-42,213,186,53,42,69,202,51.0,0.648,0.591,75.77,-4.04,66.46
D3_sliced_cake-43,216,189,54,39,66,201,51.0,0.647,0.6,76.84,-4.26,67.21
D3_sliced_cake-44,207,178,42,48,77,213,51.0,0.705,0.558,73.07,-2.88,67.39
D3_sliced_cake-45,215,188,52,40,67,203,51.0,0.657,0.595,76.47,-4.25,67.52
D3_sliced_cake-46,217,188,47,38,67,208,51.0,0.688,0.591,76.63,-3.58,69.37
D3_sliced_cake-47,220,193,59,35,62,196,51.0,0.625,0.617,78.27,-4.4,66.93
D3_sliced_cake-48,216,188,69,39,67,186,50.0,0.562,0.618,76.68,-3.03,61.36
D3_sliced_cake-49,209,183,68,46,72,187,50.0,0.557,0.601,74.72,-3.47,59.56
D3_sliced_cake-50,212,185,71,43,70,184,50.0,0.545,0.612,75.54,-3.06,59.25
D3_sliced_cake-51,239,214,86,16,41,169,51.0,0.521,0.705,85.56,-5.72,64.28
D3_sliced_cake-52,238,212,82,17,43,173,51.0,0.538,0.695,84.93,-5.36,65.24
D3_sliced_cake-53,239,214,84,16,41,171,51.0,0.531,0.702,85.55,-5.84,65.09
D3_sliced_cake-54,239,214,86,16,41,169,51.0,0.521,0.705,85.56,-5.72,64.28
D3_sliced_cake-55,236,212,80,19,43,175,52.0,0.545,0.69,84.74,-6.3,65.8
D3_sliced_cake-56,236,212,82,19,43,173,52.0,0.536,0.693,84.76,-6.19,65.0
D3_sliced_cake-57,236,212,80,19,43,175,52.0,0.545,0.69,84.74,-6.3,65.8
D3_sliced_cake-58,239,213,79,16,42,176,51.0,0.554,0.694,85.25,-5.61,66.82
D3_sliced_cake-59,236,210,70,19,45,185,52.0,0.593,0.675,84.16,-5.81,69.11
D3_sliced_cake-60,240,217,81,15,38,174,52.0,0.548,0.703,86.38,-7.11,67.21
D3_sliced_cake-61,239,214,79,16,41,176,52.0,0.555,0.695,85.51,-6.12,67.08
D3_sliced_cake-62,239,214,79,16,41,176,52.0,0.555,0.695,85.51,-6.12,67.08
D3_sliced_cake-63,240,216,81,15,39,174,52.0,0.547,0.702,86.12,-6.6,66.94
D3_sliced_cake-63,236,212,89,19,43,166,51.0,0.503,0.702,84.81,-5.77,62.13
D3_sliced_cake-64,235,211,81,20,44,174,52.0,0.539,0.689,84.4,-6.16,65.02
D3_sliced_cake-65,236,211,81,19,44,174,51.0,0.54,0.69,84.49,-5.74,65.14
D3_sliced_cake-66,235,211,80,20,44,175,52.0,0.544,0.688,84.4,-6.21,65.42
D3_sliced_cake-67,240,217,89,15,38,166,52.0,0.511,0.714,86.44,-6.64,63.99
D3_sliced_cake-68,238,213,82,17,42,173,51.0,0.538,0.697,85.19,-5.86,65.51
D3_sliced_cake-69,239,214,85,16,41,170,51.0,0.526,0.703,85.55,-5.78,64.69
D3_sliced_cake-70,242,218,90,13,37,165,52.0,0.509,0.719,86.88,-6.26,64.09
D3_sliced_cake-71,240,217,87,15,38,168,52.0,0.52,0.711,86.42,-6.76,64.81
D3_sliced_cake-72,239,214,86,16,41,169,51.0,0.521,0.705,85.56,-5.72,64.28
D3_sliced_cake-73,239,214,85,16,41,170,51.0,0.526,0.703,85.55,-5.78,64.69
D3_sliced_cake-74,238,213,82,17,42,173,51.0,0.538,0.697,85.19,-5.86,65.51
D3_sliced_cake-75,243,219,92,12,36,163,51.0,0.502,0.724,87.24,-6.23,63.65
D3_sliced_cake-76,243,219,93,12,36,162,51.0,0.497,0.725,87.25,-6.16,63.24
D3_sliced_cake-77,236,210,80,19,45,175,51.0,0.544,0.688,84.23,-5.29,65.27
D3_sliced_cake-78,238,211,82,17,44,173,51.0,0.537,0.694,84.68,-4.85,64.98
D3_sliced_cake-79,240,214,89,15,41,166,51.0,0.508,0.71,85.68,-5.13,63.16
D3_sliced_cake-80,243,218,86,12,37,169,51.0,0.528,0.715,86.93,-6.09,65.84
D3_sliced_cake-81,235,210,75,20,45,180,52.0,0.567,0.68,84.1,-5.98,67.11
D3_sliced_cake-81,248,223,81,7,32,174,52.0,0.56,0.722,88.6,-6.81,69.72
D3_sliced_cake-82,234,208,73,21,47,182,51.0,0.575,0.673,83.49,-5.48,67.24
D3_sliced_cake-83,233,206,69,22,49,186,51.0,0.593,0.664,82.86,-5.08,68.11
D3_sliced_cake-84,234,208,73,21,47,182,51.0,0.575,0.673,83.49,-5.48,67.24
D3_sliced_cake-85,231,205,69,24,50,186,51.0,0.59,0.66,82.42,-5.42,67.62
D3_sliced_cake-86,236,208,59,19,47,196,52.0,0.648,0.658,83.58,-5.28,72.47
D3_sliced_cake-87,251,227,123,4,28,132,50.0,0.386,0.786,90.27,-4.73,53.3
D3_sliced_cake-88,242,217,90,13,38,165,51.0,0.508,0.718,86.62,-5.75,63.81
D3_sliced_cake-89,242,216,84,13,39,171,51.0,0.535,0.708,86.32,-5.61,65.99
D3_sliced_cake-90,242,216,80,13,39,175,51.0,0.554,0.703,86.29,-5.83,67.57
D3_sliced_cake-91,233,205,58,22,50,197,51.0,0.649,0.648,82.54,-5.06,71.73
D3_sliced_cake-92,255,235,93,0,20,162,53.0,0.521,0.762,92.34,-9.24,69.01
D3_sliced_cake-93,225,196,61,30,59,194,50.0,0.62,0.63,79.51,-3.72,67.56
D3_sliced_cake-94,227,200,64,28,55,191,51.0,0.609,0.642,80.74,-4.79,67.71
D3_sliced_cake-95,225,197,62,30,58,193,51.0,0.616,0.633,79.78,-4.19,67.45
D3_sliced_cake-96,224,195,61,31,60,194,50.0,0.619,0.627,79.16,-3.63,67.19
D3_sliced_cake-97,231,203,67,24,52,188,51.0,0.599,0.655,81.9,-4.49,67.85
D3_sliced_cake-98,233,206,64,22,49,191,51.0,0.618,0.658,82.83,-5.32,69.92
D3_sliced_cake-99,229,201,64,26,54,191,51.0,0.611,0.646,81.18,-4.45,68.2
D3_sliced_cake-100,224,195,61,31,60,194,50.0,0.619,0.627,79.16,-3.63,67.19
D3_sliced_cake-101,226,199,67,29,56,188,51.0,0.591,0.643,80.42,-4.56,66.23
